acronym,definition
NAP,National Account Profile
NB,Non-Business
NBAP,Notice of Beginning of Administrative Procedures
NCC,National Computing Center
NECT,Non-Exempt Charitable Trust
NIF,Not In File
NMF,Non-Master File
NO,National Office
NPJ,Non Pre-Journalized
NR,No Remittance
NRA,Non Resident Alien
NRP,National Research Program
NRPS,Notice Review Processing System
NSF,Name Search Facility
NTA,National Taxpayer Advocate
NTRR,Net Tax Refund Report
NU,Nullified Unpostables
NUL,Nullified Unpostable Listing
OASI,Old Age Survivors Insurance
OBL,Outstanding Balance List
OCR,Optical Character Recognition
ODC,Credit for Other Dependents
OE,Office Examination
OE,Original Entry
OFP,Organizations Functions and Programs
OG/OB,Office Group/Office Branch
OIC,Offer in Compromise
OLE,On Line Entity
OPAC,On-Line Payment and Collection System
OTA,Office of Tax Analysis
OTA,On Line Tax Advisor
OTFP,Other Than Full Paid
OTN,TOP Offset Trace Number
PANF,Plan Account Number File
PAO,Penalty Appeals Officer
PATH,Protecting Americans from Tax Hikes Act
PBA,Principal Business Activity Code
PC,Process Code
PCA,Project literal for the Performance Evaluation Reporting Project
PCB,Project literal for the Service Center Workload Scheduling Project
PCCF,Plan Case Control File
PCD,Project literal for the Control Data Analysis Project
PCF,Plan Characteristics File
PCS,Partnership Control System
PDT,Potentially Dangerous Taxpayer
PE,Production Evaluation
PE,Program Error
PECF,Presidential Election Campaign Fund
PFR,Preliminary Findings Report
PIA,Principal Industry Activity Code
PICF,Partnership Information Control File
PINEX,Penalty and Interest Explanations
PJ,Pre-Journalized
PLC,Primary Location Code
PLEC,Plan Level Entity Control
PMF,Payer Master File
POA,Power of Attorney
POD,Post of Duty
PPBS,"Planning, Programming and Budgeting System"
PRA,Pre-refund Audit
PRC,Penalty Reason Code
PRN,Penalty Reference Number
PRO,Problem Resolution Officer
PRP,Problem Resolution Program
PRP,Program Requirement Package (Information Technology Services)
PSP,Program and Special Project
PSSN,Primary Social Security Number
PTC,Premium Tax Credit
PTIN,Preparer Tax Identification Number
PTP,Publicly Traded Partnership
PTPF,Payee TIN Perfection File
PY,Processing Year
PYNC,Prior Year Notice Code
QRDT,Questionable Refund Detection Team
QRP,Questionable Refund Program
RA,Revenue Agent
RAAS,"Research, Applied Analytics, and Statistics (Division)"
RACS,Revenue Accounting Control System
RAF,Reporting Agent's File
RAL,Refund Anticipation Loan
RC,Reason Code
RCA,Refundable Credits Administration
RCC,Return Condition Code
RCF,Recertification System (IDRS)
RDC,Regional Disbursing Center
RDD,Return Due Date
RDO,Regional Disbursing Office
REF,Refund Information File
REI,Recognition Equipment Incorporated
RF,Retention File
RFC,Regional Finance Center
RICS,Return Inventory Classification System
RIS,Real-time Input System
RIS,Request for Information Technology Services
RMF,Residual Master File
RO,Revenue Officer
ROFT,Record of Federal Tax
RPD,Remittance Processing Device
RPS,Remittance Processing System
RRB,Railroad Retirement Board
RRC,Recovery Rebate Credit
RRCS,Revenue Receipt Control Sheet
RRPS,Residual Remittance Processing System
RRT,Railroad Retirement
RSED,Refund Statute Expiration Date
RTL,Renumbered Transaction List
RUC,Responsibility Unit Code
RWMS,Resource and Workload Management System
SB/SE,Small Business & Self-Employed
SBS,Strategy & Business Solutions (Division)
SC,Service Center
SCCA,Service Center Cost Accounting
SCCB,Service Center Collection Branch
SCCF,Service Center Control File
SCME,Service Center Math Error
SCRIPS,Service Center Recognition/Image Processing System
SCRS,Service Center Replacement System
SCTN,Service Center Taxpayer Notice
SCUP,Service Center Unpostable
SD,Source Document
SDF,Source Document Folders (IDRS)
SERFE,Selection of Exempt Returns for Examination
SERP,Servicewide Electronic Research Program
SFR,Substitute for Return
SIC,Schedule Indicator Code
SITLP,State Income Tax Levy Project
SKIF,SSN Key Index File
SNAP,Supplemental Nutrition Assistance Program
SOI,Statistics of Income (Division)
SPC,Special Project Code
SPEC,"Stakeholder Partnerships, Education and Communication"
SPF,Special Procedures Function
SR,Settlement Register
SRR,Safeguard Review Report
SS-16,Form SS-16: Certificate of Election of Coverage
SS-4,Form SS-4: Application for Employer Identification Number
SS-8,Form SS-8: Determination of Worker Status for Purposes of Federal Employment Taxes and Income Tax Withholding
SSA,Social Security Act
SSA,Social Security Administration
SSA-CAWR,SSA referred CAWR cases with 'missing' Forms W-2. Potential Civil penalty case.
SSDI,Social Security Disability Insurance
SSI,Supplemental Security Income
SSN,Social Security Number
SSR,Safeguard Security Report
SSSN,Secondary Social Security Number
SSSN,Spouse's SSN
SST,Social Security Tax
STEX,Statute Expired
SUPER,Study of the Utility of Processing Electronic Returns
SVC,Special Valuation Code
SWR,Southwest Region
TANF,Temporary Assistance for Needy Families
TAS,Taxpayer Advocate Service
TC,Transaction Code
TCC,Tennessee Computing Center
TCC,Transmittal Control Code (Magnetic Media)
TCE,Tax Counseling for the Elderly
TCJA,Tax Cuts and Jobs Act
TCMP,Taxpayer Compliance Measurement Program
TD CIR 230,Publ TD CIR 230: Regulations Governing Practice before the Internal Revenue Service
TDA,Taxpayer Delinquent Account (aka Bal Due)
TDI,Taxpayer Delinquency Investigation (aka Del Ret)
TE/GE,Tax-Exempt & Government Entities
TEB,Tax Exempt Bonds
TEFRA,Tax Equity Fiscal Responsibility Act (1982)
TEP,Tape Edit Processor
TFA,Taxpayer First Act
TFRP,Trust Fund Recovery Penalty
TGR,Total Gross Receipts
TIF,Taxpayer Information File
TILT,Taxpayer Inquiry Lookup File
TIN,Taxpayer Identification Number
TOP,Treasury Offset Program
TP,Taxpayer
TPC,Third Party Contact
TPI,Total Positive Income
TPNC,Taxpayer Notice Code
TPS,Taxpayer Service
TR,Transaction
TRA,Tax Reform Act
TREES,TE/GE Reporting & Electronic Examination System
TRIS,Telephone Routing Interactive System
TRS,Transcript Research System
TSN,Tape Sequence Number
TXI,Taxable Income
TY,Tax Year
UA,Unavailable (charged out)
ULC,Unit Ledger Card
ULC,Universal Location Code
UP,Unpostable
UPC,Unpostable Code
URC,Unpostable Resolution Code
URF,Unidentified Remittance File (IDRS)
URP,Underreporter Program
US,Unserviceable
VA,Department of Veterans Affairs
VEBA,Voluntary Employees Benefit Association
VITA,Volunteer Income Tax Assistance
VRU,Voice Response Unit
W,Waiver
W-10,Form W-10: Dependent Care Provider's Identification and Certification
W-12,Form W-12: IRS Paid Preparer Tax Identification Number (PTIN) Application and Renewal
W-13,Form W-13: ExSTARS Reporting Information Request for Taxpayer Identification Number and Certification
W-14,Form W-14: Certificate of Foreign Contracting Party Receiving Federal Procurement Payments
W-2,Form W-2: Wage and Tax Statement (Info Copy Only)
W-2AS,Form W-2AS: American Samoa Wage and Tax Statement
W-2C,Form W-2C: Corrected Wage and Tax Statement (Info Copy Only)
W-2G,Form W-2G: Certain Gambling Winnings
W-2GU,Form W-2GU: Guam Wage and Tax Statement (Info Copy Only)
W-2VI,Form W-2VI: U.S. Virgin Islands Wage and Tax Statement (Info Copy Only)
W-3,Form W-3: Transmittal of Wage and Tax Statements (Info Copy Only)
W-3C,Form W-3C: Transmittal of Corrected Wage and Tax Statements (Info Copy Only)
W-3SS,Form W-3SS: Transmittal of Wage and Tax Statements (Info Copy Only)
W-4,Form W-4: Employee's Withholding Certificate
W-4P,Form W-4P: Withholding Certificate for Pension or Annuity Payments
W-4S,Form W-4S: Request for Federal Income Tax Withholding from Sick Pay
W-4V,Form W-4V: Voluntary Withholding Request
W-7,Form W-7: Application for IRS Individual Taxpayer Identification Number
W-7 (COA),Form W-7 (COA): Certificate of Accuracy for IRS Individual Taxpayer Identification Number
W-7A,Form W-7A: Application for Taxpayer Identification Number for Pending U.S. Adoptions
W-8BEN,Form W-8BEN: Certificate of Foreign Status of Beneficial Owner for United States Tax Withholding and Reporting (Individuals)
W-8BEN-E,Form W-8BEN-E: Certificate of Entities Status of Beneficial Owner for United States Tax Withholding and Reporting (Entities)
W-8CE,Form W-8CE: Notice of Expatriation and Waiver of Treaty Benefits
W-8ECI,Form W-8ECI: Certificate of Foreign Person's Claim That Income Is Effectively Connected With the Conduct of a Trade or Business in the United States
W-8EXP,Form W-8EXP: Certificate of Foreign Government or Other Foreign Organization for United States Tax Withholding and Reporting
W-8IMY,"Form W-8IMY: Certificate of Foreign Intermediary, Foreign Flow-Through Entity, or Certain U.S. Branches for United States Tax Withholding and Reporting"
W-9,Form W-9: Request for Taxpayer Identification Number and Certification
W-9S,Form W-9S: Request for Student's or Borrower's Taxpayer Identification Number and Certification
WI,Wage & Investments
WIC,"Supplemental Nutrition Program for Women, Infants, and Children"
WIR,Wage Information Retrieval System
WP&C,Work Planning & Control
WPT,Windfall Profit Tax
WT,Withholding Tax
WTU,Weekly TIF Update
XSF,Excess Collection File
ZTIF,"Miscellaneous Taxpayer Information File (IRA, EPMF, NMF)"
